Metric,Value
Number of files,10
Total signal samples,100000000
Absolute signal mean,0.00425683711665
Signal std,0.005318884269331426
Number of minima,23194053
Threshold (V),-0.028976369999999998
Minimum photon count,0
Maximum photon count,2
Mean photon count,0.5
Std photon count,0.6708203932499369
