Metric,Value
Number of files,10
Total signal samples,100000000
Absolute signal mean,0.004724761464450001
Signal std,0.00590726051480154
Number of minima,23209333
Threshold (V),-0.06200246507400771
Minimum photon count,1
Maximum photon count,6
Mean photon count,2.7
Std photon count,1.676305461424021
