Metric,Value
Number of files,10
Total signal samples,100000000
Absolute signal mean,0.00449974121403
Signal std,0.005627569598090746
Number of minima,23206185
Threshold (V),-0.06068933549045373
Minimum photon count,0
Maximum photon count,0
Mean photon count,0.0
Std photon count,0.0
