Metric,Value
Number of files,10
Total signal samples,100000000
Absolute signal mean,0.00501118960542
Signal std,0.006251751331352496
Number of minima,23216059
Threshold (V),-0.07249632915676243
Minimum photon count,7
Maximum photon count,19
Mean photon count,12.5
Std photon count,4.318564576337836
