Metric,Value
Number of files,10
Total signal samples,100000000
Absolute signal mean,0.0046027281477300005
Signal std,0.005773758527115975
Number of minima,23209601
Threshold (V),-0.06141174763557988
Minimum photon count,0
Maximum photon count,1
Mean photon count,0.8
Std photon count,0.4
